t,a,z
2.384185791015625e-06,12.892775939941405,0.0
0.0013082027435302734,13.120225097656249,0.02
0.0026111602783203125,13.163320727539062,0.06999999999999999
0.003900289535522461,13.230358374023437,0.13999999999999999
0.0052073001861572266,13.242329382324218,0.25999999999999995
0.0065119266510009766,13.450624926757811,0.44
0.007796287536621094,13.469778540039062,0.68
0.009081125259399414,13.527239379882811,0.9700000000000001
0.010364532470703125,13.536816186523437,1.34
0.011649847030639648,13.491326354980467,1.77
0.012933492660522461,13.555969799804688,2.27
0.014218807220458984,13.558364001464843,2.84
0.015503406524658203,13.555969799804688,3.49
0.016789913177490234,13.529633581542967,4.22
0.018085956573486328,13.5990654296875,5.04
0.01938462257385254,13.68765089111328,5.96
0.02067732810974121,13.728352319335936,6.98
0.021980762481689453,13.776236352539062,8.11
0.023270368576049805,13.833697192382811,9.36
0.024592161178588867,13.881581225585936,10.74
0.025929689407348633,13.929465258789062,12.25
0.02732396125793457,13.982137695312499,13.899999999999999
0.02865290641784668,14.051569543457031,15.69
0.02997589111328125,14.087482568359373,17.64
0.031325578689575195,14.142549206542968,19.740000000000002
0.032663583755493164,14.166491223144531,22.009999999999998
0.03399825096130371,14.183250634765624,24.43
0.0353703498840332,14.18564483642578,27.02
0.03671908378601074,14.171279626464843,29.77
0.03803896903991699,14.11621298828125,32.669999999999995
0.039365530014038086,14.018050720214843,35.71
0.04072403907775879,13.919888452148436,38.879999999999995
0.04212474822998047,13.814543579101562,42.15
0.043474674224853516,13.469778540039062,45.510000000000005
0.04483842849731445,13.263877197265625,48.92
0.04613447189331055,12.919112158203124,52.36
0.047495126724243164,12.686874597167968,55.800000000000004
0.04882478713989258,12.514492077636717,59.21
0.050182342529296875,11.942277880859374,62.55
0.05146980285644531,11.67652149658203,65.8
0.05275440216064453,11.382034692382812,68.91
0.05403947830200195,11.018116040039061,71.88
0.05533146858215332,10.785878479003905,74.67999999999999
0.05661654472351074,10.512939489746094,77.28
0.057900428771972656,10.32379755859375,79.66
0.05918431282043457,10.053252770996092,81.83
0.060468435287475586,9.967061511230469,83.76
0.06175351142883301,9.955090502929687,85.46
0.06303691864013672,9.78031378173828,86.91
0.06432223320007324,9.76116016845703,88.13
0.06560730934143066,9.7683427734375,89.12
0.06689286231994629,9.749189160156249,89.87
0.06817746162414551,9.770736975097655,90.39
0.06946110725402832,9.816226806640625,90.69000000000001
0.07074499130249023,9.85692823486328,90.78
0.07202887535095215,9.928754284667969,90.66000000000001
0.07331275939941406,9.988609326171874,90.34
0.07462143898010254,10.04846436767578,89.84
